coin,name,datePrice,currentPrice,link_to_exch,fl_added
DENT,Dent,2017-12-15 21:01:51.695764+00:00,0.00421246,https://coinmarketcap.com/currencies/dent/,True
IOC,I/O Coin,2017-12-15 21:01:51.695764+00:00,2.70806,https://coinmarketcap.com/currencies/iocoin/,True
ION,ION,2017-12-15 21:01:51.695764+00:00,2.42322,https://coinmarketcap.com/currencies/ion/,True
TIX,Blocktix,2017-12-15 21:01:51.695764+00:00,1.10709,https://coinmarketcap.com/currencies/blocktix/,True
TAAS,TaaS,2017-12-15 21:01:51.695764+00:00,5.41184,https://coinmarketcap.com/currencies/taas/,True
CRW,Crown,2017-12-15 21:01:51.695764+00:00,2.64695,https://coinmarketcap.com/currencies/crown/,True
LBC,LBRY Credits,2017-12-15 21:01:51.695764+00:00,0.362704,https://coinmarketcap.com/currencies/library-credit/,True
LEND,ETHLend,2017-12-15 21:01:51.695764+00:00,0.0455333,https://coinmarketcap.com/currencies/ethlend/,True
ENJ,Enjin Coin,2017-12-15 21:01:51.695764+00:00,0.0555476,https://coinmarketcap.com/currencies/enjin-coin/,True
SIB,SIBCoin,2017-12-15 21:01:51.695764+00:00,2.62005,https://coinmarketcap.com/currencies/sibcoin/,True
DPY,Delphy,2017-12-15 21:01:51.695764+00:00,1.4887,https://coinmarketcap.com/currencies/delphy/,True
XWC,WhiteCoin,2017-12-15 21:01:51.695764+00:00,0.168032,https://coinmarketcap.com/currencies/whitecoin/,True
TRST,WeTrust,2017-12-15 21:01:51.695764+00:00,0.451213,https://coinmarketcap.com/currencies/trust/,True
DMD,Diamond,2017-12-15 21:01:51.695764+00:00,16.1587,https://coinmarketcap.com/currencies/diamond/,True
AST,AirSwap,2017-12-15 21:01:51.695764+00:00,0.273579,https://coinmarketcap.com/currencies/airswap/,True
DCN,Dentacoin,2017-12-15 21:01:51.695764+00:00,0.000125402,https://coinmarketcap.com/currencies/dentacoin/,True
SBD,Steem Dollars,2017-12-15 21:01:51.695764+00:00,10.5051,https://coinmarketcap.com/currencies/steem-dollars/,True
WGR,Wagerr,2017-12-15 21:01:51.695764+00:00,0.218483,https://coinmarketcap.com/currencies/wagerr/,True
BCO,BridgeCoin,2017-12-15 21:01:51.695764+00:00,1.45977,https://coinmarketcap.com/currencies/bridgecoin/,True
DCT,DECENT,2017-12-15 21:01:51.695764+00:00,0.745324,https://coinmarketcap.com/currencies/decent/,True
ZSC,Zeusshield,2017-12-15 21:01:51.695764+00:00,0.0329446,https://coinmarketcap.com/currencies/zeusshield/,True
MOD,Modum,2017-12-15 21:01:51.695764+00:00,2.06662,https://coinmarketcap.com/currencies/modum/,True
NLG,Gulden,2017-12-15 21:01:51.695764+00:00,0.105333,https://coinmarketcap.com/currencies/gulden/,True
SPANK,SpankChain,2017-12-15 21:01:51.695764+00:00,0.123116,https://coinmarketcap.com/currencies/spankchain/,True
HVN,Hive,2017-12-15 21:01:51.695764+00:00,0.0981442,https://coinmarketcap.com/currencies/hive/,True
DNT,district0x,2017-12-15 21:01:51.695764+00:00,0.0596855,https://coinmarketcap.com/currencies/district0x/,True
GRID,Grid+,2017-12-15 21:01:51.695764+00:00,0.908323,https://coinmarketcap.com/currencies/grid/,True
GUP,Matchpool,2017-12-15 21:01:51.695764+00:00,0.472099,https://coinmarketcap.com/currencies/guppy/,True
OK,OKCash,2017-12-15 21:01:51.695764+00:00,0.479934,https://coinmarketcap.com/currencies/okcash/,True
RMC,Russian Miner...,2017-12-15 21:01:51.695764+00:00,23347.0,https://coinmarketcap.com/currencies/russian-mining-coin/,True
FUEL,Etherparty,2017-12-15 21:01:51.695764+00:00,0.0717877,https://coinmarketcap.com/currencies/etherparty/,True
BTX,Bitcore,2017-12-15 21:01:51.695764+00:00,18.1433,https://coinmarketcap.com/currencies/bitcore/,True
SHIFT,Shift,2017-12-15 21:01:51.695764+00:00,2.96566,https://coinmarketcap.com/currencies/shift/,True
RPX,Red Pulse,2017-12-15 21:01:51.695764+00:00,0.0626632,https://coinmarketcap.com/currencies/red-pulse/,True
CND,Cindicator,2017-12-15 21:01:51.695764+00:00,0.0235124,https://coinmarketcap.com/currencies/cindicator/,True
AMB,Ambrosus,2017-12-15 21:01:51.695764+00:00,0.233779,https://coinmarketcap.com/currencies/amber/,True
FRST,FirstCoin,2017-12-15 21:01:51.695764+00:00,17.6882,https://coinmarketcap.com/currencies/firstcoin/,True
SLS,SaluS,2017-12-15 21:01:51.695764+00:00,32.6769,https://coinmarketcap.com/currencies/salus/,True
XEL,Elastic,2017-12-15 21:01:51.695764+00:00,0.373158,https://coinmarketcap.com/currencies/elastic/,True
BLK,BlackCoin,2017-12-15 21:01:51.695764+00:00,0.423381,https://coinmarketcap.com/currencies/blackcoin/,True
OMNI,Omni,2017-12-15 21:01:51.695764+00:00,57.5727,https://coinmarketcap.com/currencies/omni/,True
BURST,Burst,2017-12-15 21:01:51.695764+00:00,0.0175347,https://coinmarketcap.com/currencies/burst/,True
GRC,GridCoin,2017-12-15 21:01:51.695764+00:00,0.0800813,https://coinmarketcap.com/currencies/gridcoin/,True
PRE,Presearch,2017-12-15 21:01:51.695764+00:00,0.200894,https://coinmarketcap.com/currencies/presearch/,True
POE,Po.et,2017-12-15 21:01:51.695764+00:00,0.0140898,https://coinmarketcap.com/currencies/poet/,True
XPA,XPlay,2017-12-15 21:01:51.695764+00:00,0.030095,https://coinmarketcap.com/currencies/xplay/,True
CTR,Centra,2017-12-15 21:01:51.695764+00:00,0.437704,https://coinmarketcap.com/currencies/centra/,True
BOT,Bodhi,2017-12-15 21:01:51.695764+00:00,0.741923,https://coinmarketcap.com/currencies/bodhi/,True
NMR,Numeraire,2017-12-15 21:01:51.695764+00:00,22.8738,https://coinmarketcap.com/currencies/numeraire/,True
THC,HempCoin,2017-12-15 21:01:51.695764+00:00,0.128651,https://coinmarketcap.com/currencies/hempcoin/,True
VRC,VeriCoin,2017-12-15 21:01:51.695764+00:00,0.95646,https://coinmarketcap.com/currencies/vericoin/,True
XAUR,Xaurum,2017-12-15 21:01:51.695764+00:00,0.229546,https://coinmarketcap.com/currencies/xaurum/,True
TRIG,Triggers,2017-12-15 21:01:51.695764+00:00,0.906241,https://coinmarketcap.com/currencies/triggers/,True
IXT,iXledger,2017-12-15 21:01:51.695764+00:00,0.805641,https://coinmarketcap.com/currencies/ixledger/,True
MUE,MonetaryUnit,2017-12-15 21:01:51.695764+00:00,0.239514,https://coinmarketcap.com/currencies/monetaryunit/,True
WCT,Waves Communi...,2017-12-15 21:01:51.695764+00:00,2.8574,https://coinmarketcap.com/currencies/waves-community-token/,True
STX,Stox,2017-12-15 21:01:51.695764+00:00,0.663844,https://coinmarketcap.com/currencies/stox/,True
PASC,Pascal Coin,2017-12-15 21:01:51.695764+00:00,1.73447,https://coinmarketcap.com/currencies/pascal-coin/,True
NLC2,NoLimitCoin,2017-12-15 21:01:51.695764+00:00,0.135054,https://coinmarketcap.com/currencies/nolimitcoin/,True
MDA,Moeda Loyalty...,2017-12-15 21:01:51.695764+00:00,1.40397,https://coinmarketcap.com/currencies/moeda-loyalty-points/,True
BQ,bitqy,2017-12-15 21:01:51.695764+00:00,0.0100722,https://coinmarketcap.com/currencies/bitqy/,True
GAM,Gambit,2017-12-15 21:01:51.695764+00:00,22.5848,https://coinmarketcap.com/currencies/gambit/,True
OBITS,OBITS,2017-12-15 21:01:51.695764+00:00,1.70601,https://coinmarketcap.com/currencies/obits/,True
AMP,Synereo,2017-12-15 21:01:51.695764+00:00,0.322784,https://coinmarketcap.com/currencies/synereo/,True
AVT,Aventus,2017-12-15 21:01:51.695764+00:00,4.35088,https://coinmarketcap.com/currencies/aventus/,True
VIB,Viberate,2017-12-15 21:01:51.695764+00:00,0.161414,https://coinmarketcap.com/currencies/viberate/,True
